Vendor_ID,Vendor_Name,Vendor_Category,Vendor_Circle,Service_Criticality,Region,Critical_Findings,High_Findings,Open_Risks,Compliance_Score,VAPT_Findings,Patch_Compliance,MFA_Enabled,Data_Access_Level,DLP_Violations,Security_Incidents,SLA_Breaches,Mitigation_Overdue_Days,Last_Assessment_Date,Assessment_Frequency,Risk_Review_Status
V0001,Chaudhry LLC,Network Equipment,Noida,High,East,0,0,4,95,0,89,Yes,Sensitive,0,1,0,0,2025-11-24,Annually,Open
V0002,Kara LLC,Data Center Services,Maharashtra,Critical,West,0,4,5,80,2,72,Yes,Confidential,2,0,0,0,2025-07-13,Half-Yearly,Mitigation In Progress
V0003,Badal LLC,IT Support,Mumbai,High,East,0,3,4,85,4,88,Yes,Internal,2,2,1,0,2025-11-26,Monthly,Under Review
V0004,Narain Group,NOC Operations,Gujarat,Medium,North,0,2,1,90,0,99,Yes,Sensitive,0,0,0,0,2025-09-05,Monthly,Mitigation In Progress
V0005,Peri Inc,Power Infrastructure,Kerala,Critical,North,3,5,6,70,7,61,No,Public,2,2,2,45,2025-08-13,Half-Yearly,Open
V0006,"Halder, Doshi and Gade",IT Support,Assam,Medium,East,0,0,4,90,3,86,Yes,Sensitive,0,0,0,15,2026-04-27,Annually,Under Review
V0007,Ratta Ltd,Fiber Operations,Karnataka,High,North,3,6,11,65,5,74,Yes,Sensitive,2,1,1,45,2026-02-23,Monthly,Under Review
V0008,Solanki-Dey,IT Support,Odisha,Low,West,1,2,4,80,0,98,No,Sensitive,0,0,1,0,2025-08-18,Annually,Closed
V0009,Dhaliwal-Ganguly,Cyber Security Services,Andhra Pradesh,High,South,3,5,3,85,3,75,Yes,Internal,1,2,0,45,2025-11-25,Monthly,Mitigation In Progress
V0010,"Barad, Agate and Nayar",Field Operations,Haryana,High,South,8,14,7,55,7,56,No,Confidential,5,3,3,90,2026-05-16,Quarterly,Closed
V0011,"Garde, Ravi and Chand",Data Center Services,Madhya Pradesh,Medium,South,1,7,3,80,2,85,No,Internal,0,2,2,0,2026-03-21,Quarterly,Closed
V0012,Parmer-Pall,Field Operations,Tamil Nadu,Medium,South,4,10,4,75,4,77,No,Internal,2,1,3,45,2026-02-28,Quarterly,Mitigation In Progress
V0013,Parmar LLC,Fiber Operations,Delhi,Medium,West,3,3,6,85,3,74,Yes,Confidential,1,0,0,30,2026-02-20,Half-Yearly,Closed
V0014,"Palla, Baria and Magar",Fiber Operations,Madhya Pradesh,Critical,West,0,6,2,90,2,78,Yes,Sensitive,0,0,1,30,2026-01-05,Quarterly,Under Review
V0015,Bains Ltd,Cloud Services,Gurugram,Medium,North,6,11,7,70,3,62,No,Internal,1,1,1,45,2025-08-08,Annually,Under Review
V0016,Bala-Walla,RF Optimization,Odisha,High,South,3,13,4,75,4,76,Yes,Confidential,2,2,1,45,2025-07-27,Half-Yearly,Mitigation In Progress
V0017,Deshmukh-Walla,Tower Maintenance,Mohali,High,West,6,7,8,75,5,78,Yes,Internal,3,2,3,90,2026-02-27,Quarterly,Closed
V0018,"Chakraborty, Parmar and Sodhi",RF Optimization,Telangana,High,West,1,2,1,95,0,100,Yes,Confidential,0,0,1,0,2026-06-10,Annually,Closed
V0019,Sami LLC,Network Equipment,Haryana,Low,West,0,1,2,90,0,89,Yes,Sensitive,0,0,0,15,2025-11-11,Quarterly,Closed
V0020,Mangal-Aurora,RF Optimization,Gurugram,Critical,East,0,0,4,95,0,89,Yes,Public,0,1,1,0,2025-12-08,Annually,Under Review
V0021,Samra Ltd,Cyber Security Services,West Bengal,High,South,0,1,2,85,2,88,Yes,Internal,0,0,1,0,2025-08-08,Quarterly,Under Review
V0022,"Ram, Murty and Badal",RF Optimization,Tamil Nadu,Medium,East,0,0,0,85,0,92,Yes,Internal,0,0,0,0,2025-10-28,Half-Yearly,Under Review
V0023,Mital PLC,Tower Maintenance,Maharashtra,Medium,North,0,3,2,75,2,86,Yes,Confidential,0,2,0,45,2026-06-13,Quarterly,Open
V0024,Date-Bath,IT Support,Rajasthan,Critical,East,2,4,3,85,3,83,Yes,Public,1,2,0,15,2026-05-07,Half-Yearly,Open
V0025,Ramaswamy-Sharma,Power Infrastructure,Maharashtra,Low,East,8,11,11,40,5,58,No,Confidential,4,4,3,60,2025-10-12,Monthly,Under Review
V0026,Lanka PLC,Cloud Services,Mumbai,Medium,East,5,13,6,80,6,64,No,Internal,1,2,1,90,2026-01-11,Quarterly,Open
V0027,Varty Ltd,RF Optimization,UP East,Low,North,0,2,2,85,3,72,No,Confidential,1,0,0,30,2026-02-27,Annually,Closed
V0028,Narula LLC,Field Operations,Madhya Pradesh,Low,South,0,2,1,90,0,87,No,Public,0,0,0,0,2025-10-20,Monthly,Open
V0029,Keer and Sons,Managed Services,Madhya Pradesh,High,South,0,5,1,85,0,97,Yes,Public,1,0,0,15,2026-05-05,Half-Yearly,Closed
